커피를 마신다				drink coffee 
커피를 버린다				throw away coffee 
커피를 만들다				make coffee 
커피를 삽니다				buy coffee 
커피를 팝니다				sell coffee 
커피를 가지고 갑니다		take coffee 
커피를 줍니다				give coffee 
커피를 가지고 옵니다		bring coffee 
네(니) 커피				your coffee 
니 커피 버려				throw away your coffee 
내 커피					my coffee 
내 커피를 사세요			buy my coffee 
우리 커피				our coffee 
우리 커피를 사세요		buy our coffee 
우리 커피를 마시세요		drink our coffee 
니 커피 버려				throw away your coffee 
내 커피 좀 마셔봐			drink my coffee 
내 커피를 만들어 주세요	make my coffee 
내 커피를 가져와 주세요	bring my coffee 
내 커피를 만들어 주시고 내 커피를 가져와 주세요 make my coffee and bring it to me 
이 커피					this coffee 
이 커피를 가져 가세요		take this coffee 
걔들 커피				their coffee 
이 커피를 가져 오세요		bring this coffee 
그들의 커피를 가져가세요	take their coffee 
이 커피를 파세요			sell this coffee 
이 커피를 채우세요		fill this coffee 
쟤 커피					his coffee 
이 커피를 가져가세요		take this coffee 
이 커피를 버리세요		throw away this coffee 
그녀의 커피				her coffee 
이 커피를 버리세요		throw away this coffee 
이 물 버리세요			throw away this water 
이 커피를 만드세요		make this coffee 
이 커피를 사세요			buy this coffee 
책						a book
이 책					this book 
이 책을 읽어				read this book 
이 책 가져가				take this book 
이 책 팔아				sell this book 
이 책 가져와				bring this book 
이 책 사봐				buy this book 
이 책 사용해				use this book
이 책 만들어봐			make this book 
가방						a bag 
이 가방 사세요			buy this bag 
이 가장 파세요			sell this bag 
이 가방 쓰세요			use this bag 
이 가방 만들어 보세요		make this bag 
이 가방 매세요			put on  
이 가방 매세요			put on this bag 
이 가방 내려 놓으세요		put down this bag 
네 가방					your bag 
네 가방 매 (짐싸)			put on your bag  
이 가방 매(매세요)		put on this bag
네 가방 내려놔			put down your bag 
